Observation,Date,,Meme?,Taco_Bell_building\sign?,Food?,People?,Celebrities?,Couples?,Photo,video,Likes/View,Comment,Reply from Taco Bell,Reply from TB w/@ or #,,Notes,,
1,5/24/2021,Monday,0,0,1,0,0,0,1,0,12800,341,1,1,@hele.kat17,greendrink,,
2,5/21/2021,Friday,0,1,0,1,1,0,1,0,63500,1284,1,1,"
'@bystarlite",,,
3,5/20/2021,Thursday,0,1,0,0,0,0,1,0,8525,200,0,0,0,TB Sign with Drive Thru,,
4,5/20/2021,Thursday,0,0,1,0,0,0,1,0,13153,546,0,0,@seanwcb,Hand holding a taco,,
5,5/19/2021,Wednesday,0,0,1,0,0,0,1,0,6823,278,1,1,"@
drinklocalbrews",2 Tacos on a Skateboard,,
6,5/18/2021,Tuesday,0,1,0,0,0,0,1,0,9910,293,0,0,0,Painting of TacoBell Building,,
7,5/14/2021,Friday,0,0,0,1,0,0,1,0,6861,294,0,0,0,Person in a Taco Bell scarf and sauce packet necklace,,
8,5/13/2021,Thursday,0,0,1,0,0,0,1,0,9550,171,0,0,0,Tb sign in shape of guitar,,
9,5/11/2021,Tuesday,0,0,1,0,0,0,1,0,14900,321,0,0,0,Drawing of a taco.  Nice one,,
10,5/10/2021,Monday,0,0,1,0,0,0,1,0,9991,242,0,0,0,Nachos plate,,
11,5/7/2021,Friday,0,0,0,1,0,0,1,0,5825,152,0,0,0,Graduate at the table in Purple (same color as TB purple),,
12,5/6/2021,Thursday,0,0,1,0,0,0,1,0,14700,401,0,0,0,Quesalupa ,,
13,5/4/2021,Tuesday,0,0,1,0,0,0,1,0,9265,197,1,1,@hollylolly_777,Taco Bell and Taco Moon,,
14,4/30/2021,Friday,0,0,1,1,0,1,1,0,7357,192,0,0,0,Couple sitting on the sidewalk with sauce packets & 2 tacos,,
15,4/29/2021,Thursday,0,1,0,0,0,0,1,0,13200,240,0,0,0,Tacobell store front with art of sauce packets ,,
16,4/28/2021,Wednesday,0,0,1,0,0,0,1,0,12729,217,0,0,0,Taco and Taco Moon,,
17,4/27/2021,Tuesday,0,0,1,0,0,0,1,0,16812,399,0,0,0,Taco & Burrito,,
18,4/23/2021,Friday,0,0,1,1,0,0,1,0,12355,319,0,0,0,Girl carrying a tray of Taco Bell wrapped food and blue drink,,
19,4/22/2021,Thursday,0,0,1,0,0,0,1,0,9415,459,0,0,0,Taco and wrapped Taco Bell Food with Vegetarian word on the image,,
20,4/19/2021,Wednesday,0,1,0,0,0,0,1,0,17036,430,0,0,0,Taco Bell Sign with Drive Thru 24 Hr,,
21,4/16/2021,Friday,0,0,1,0,0,0,1,0,"29,396",712,0,0,0,QUESARITO and Glass of Wine,,
22,4/14/2021,Wednesday,0,0,0,1,0,1,1,0,19490,333,0,0,0,Suki and Frank in from of Taco Bell bell logo (says in Taco Bell Chapel),,
23,4/13/2021,Tuesday,0,1,1,1,0,1,0,1,11317,374,0,0,0,video promoting Taco Bell swag,,
24,4/9/2021,Friday,0,0,1,0,0,0,1,0,4568,212,0,0,0,Sauces that say besties,,
25,4/8/2021,Thursday,0,0,1,0,0,0,1,0,7516,163,0,0,0,Taco Bell food c,,
