Observation,Date,Day,Meme?,Taco_Bell_building\sign?,Food?,People?,Celebrities?,Couples?,Photo,video,Likes-View,Comment,Reply from Taco Bell,ReplyfromTB 
1,5/24/2021,Monday,0,0,1,0,0,0,1,0,12800,341,1,1
2,5/21/2021,Friday,0,1,0,1,1,0,1,0,63500,1284,1,1
3,5/20/2021,Thursday,0,1,0,0,0,0,1,0,8525,200,0,0
4,5/20/2021,Thursday,0,0,1,0,0,0,1,0,13153,546,0,0
5,5/19/2021,Wednesday,0,0,1,0,0,0,1,0,6823,278,1,1
6,5/18/2021,Tuesday,0,1,0,0,0,0,1,0,9910,293,0,0
7,5/14/2021,Friday,0,0,0,1,0,0,1,0,6861,294,0,0
8,5/13/2021,Thursday,0,0,1,0,0,0,1,0,9550,171,0,0
9,5/11/2021,Tuesday,0,0,1,0,0,0,1,0,14900,321,0,0
10,5/10/2021,Monday,0,0,1,0,0,0,1,0,9991,242,0,0
11,5/7/2021,Friday,0,0,0,1,0,0,1,0,5825,152,0,0
12,5/6/2021,Thursday,0,0,1,0,0,0,1,0,14700,401,0,0
13,5/4/2021,Tuesday,0,0,1,0,0,0,1,0,9265,197,1,1
14,4/30/2021,Friday,0,0,1,1,0,1,1,0,7357,192,0,0
15,4/29/2021,Thursday,0,1,0,0,0,0,1,0,13200,240,0,0
16,4/28/2021,Wednesday,0,0,1,0,0,0,1,0,12729,217,0,0
17,4/27/2021,Tuesday,0,0,1,0,0,0,1,0,16812,399,0,0
18,4/23/2021,Friday,0,0,1,1,0,0,1,0,12355,319,0,0
19,4/22/2021,Thursday,0,0,1,0,0,0,1,0,9415,459,0,0
20,4/19/2021,Wednesday,0,1,0,0,0,0,1,0,17036,430,0,0
21,4/16/2021,Friday,0,0,1,0,0,0,1,0,"29,396",712,0,0
22,4/14/2021,Wednesday,0,0,0,1,0,1,1,0,19490,333,0,0
23,4/13/2021,Tuesday,0,1,1,1,0,1,0,1,11317,374,0,0
24,4/9/2021,Friday,0,0,1,0,0,0,1,0,4568,212,0,0
25,4/8/2021,Thursday,0,0,1,0,0,0,1,0,7516,163,0,0
